################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0115692875158245E-01 a       164     0     9     1     4
  4.0288678573258796E-01 a       165     0     9     1     5
 -2.3849833249985597E-01 a       166     0     9     1     6
 -2.9606332567373139E-01 a       167     0     9     1     7
  5.0397236473439078E-01 a       168     0     9     1     8
  1.5679217765311615E-01 a       169     0     9     1     9
  1.4756296604832145E-01 a       170     0     9     1    10
  1.1078420853524704E+00 a       171     0     9     1    11
 -1.4238814563768767E-01 a       172     0     9     1    12
 -2.2481462548314640E-01 a       173     0     9     1    13
  6.1254236907069703E-01 a       174     0     9     1    14
  5.9417367901026652E-01 a       175     0     9     1    15
  4.0013895124394611E-01 a       176     0     9     1    16
  6.4185606790390415E-01 a       177     0     9     1    17
  2.4667178784702282E-01 a       178     0     9     1    18
  1.3009192790042026E-01 a       179     0     9     1    19
  7.2692972509220832E-01 a       180     0     9     1    20
 -1.2728847119626148E+00 a       181     0    10     1     1
  1.7248760906793018E-02 a       182     0    10     1     2
 -4.0872734407787686E-01 a       183     0    10     1     3
  9.6800368239850743E-01 a       184     0    10     1     4
 -2.0905795491173849E-02 a       185     0    10     1     5
  3.8132334709285579E-02 a       186     0    10     1     6
  2.1524552853461332E-02 a       187     0    10     1     7
  4.8094942150443348E-01 a       188     0    10     1     8
 -2.1390648501424911E-01 a       189     0    10     1     9
  1.0864429092914376E+00 a       190     0    10     1    10
  6.4409655387476242E-02 a       191     0    10     1    11
 -3.3447999176220983E-01 a       192     0    10     1    12
 -7.3990480868230110E-02 a       193     0    10     1    13
 -6.4454996897430712E-03 a       194     0    10     1    14
  1.9274067503777875E-01 a       195     0    10     1    15
  1.8082292770400757E-02 a       196     0    10     1    16
 -3.9630831475782446E-01 a       197     0    10     1    17
  4.7543420605764919E-01 a       198     0    10     1    18
 -1.3596274956696830E-01 a       199     0    10     1    19
  2.8626320915833481E-01 a       200     0    10     1    20
 -4.5131057464381441E-01 a       201     0    11     1     1
  6.0587536534902975E-01 a       202     0    11     1     2
  3.5645371556863988E-02 a       203     0    11     1     3
 -1.2725794923659028E-01 a       204     0    11     1     4
 -2.7338542461181951E-02 a       205     0    11     1     5
  2.0194716476210370E-01 a       206     0    11     1     6
  2.6341462111137159E-01 a       207     0    11     1     7
 -3.6511779335710370E-01 a       208     0    11     1     8
 -2.0360880306557361E-02 a       209     0    11     1     9
 -5.2606377041341645E-01 a       210     0    11     1    10
 -6.2240334859641799E-01 a       211     0    11     1    11
 -1.0957599474027344E-01 a       212     0    11     1    12
 -1.7696520384139136E-01 a       213     0    11     1    13
 -1.6427375156163954E-02 a       214     0    11     1    14
 -1.8270197588353285E-01 a       215     0    11     1    15
 -4.2452226029533519E-01 a       216     0    11     1    16
  1.6423395629383494E-01 a       217     0    11     1    17
  2.2850520785699047E-02 a       218     0    11     1    18
 -1.1548835630236126E-01 a       219     0    11     1    19
 -1.3929280956523898E-01 a       220     0    11     1    20
  8.6971417426828301E-01 a       221     0    12     1     1
 -2.0831806817640927E-01 a       222     0    12     1     2
  2.2260342805455144E-01 a       223     0    12     1     3
 -1.8321248906716547E-01 a       224     0    12     1     4
 -5.2287627143396054E-01 a       225     0    12     1     5
  2.9674126940908641E-01 a       226     0    12     1     6
 -2.6954658961930289E-01 a       227     0    12     1     7
 -3.4534808025867803E-01 a       228     0    12     1     8
 -4.9962096460240929E-01 a       229     0    12     1     9
 -3.3440864358713435E-01 a       230     0    12     1    10
 -9.4071202298970008E-02 a       231     0    12     1    11
  2.9404258690033158E-01 a       232     0    12     1    12
  1.8127169737287058E-01 a       233     0    12     1    13
 -5.0633225180632964E-02 a       234     0    12     1    14
 -1.9608674341032939E-01 a       235     0    12     1    15
  1.1198394429392639E-01 a       236     0    12     1    16
  1.2472999791281712E-01 a       237     0    12     1    17
 -5.2432060188612983E-01 a       238     0    12     1    18
  4.5115777131832541E-02 a       239     0    12     1    19
 -1.2865965294611318E-02 a       240     0    12     1    20
  4.8924582858761456E-01 a       241     0    13     1     1
 -9.4894521516903876E-02 a       242     0    13     1     2
 -5.5097636580459741E-01 a       243     0    13     1     3
 -1.3450776362758272E-02 a       244     0    13     1     4
